Id;ASIN;Group;Salesrank;Reviews;avg rating;Title
21;0790747324;DVD;795;140;4.5;The Time Machine
84;B000063W82;Video;780;14;4.5;The Best of Schoolhouse Rock! - 30th Anniversary Edition
252;B0000262WI;Music;581;82;4.5;The Köln Concert
254;6301967917;Video;4828;20;4.0;Electra Glide in Blue
296;0385504209;Book;19;3049;3.5;The Da Vinci Code
344;1587620685;Book;3955;12;5.0;Term Sheets & Valuations - A Line by Line Look at the Intricacies of Venture Capital Term Sheets & Valuations (Bigwig Briefs)
369;B000002NHN;Music;1581;416;5.0;The Book of Secrets
410;6301966422;Video;4578;18;4.0;Brewster McCloud
448;0312966091;Book;607;141;4.5;Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel)
457;B0000296JB;Music;2439;545;4.5;Make Yourself
480;B0000296J9;Music;1310;42;5.0;Gunfighter Ballads & Trail Songs
486;B0000296J3;Music;1060;46;4.5;Stardust
499;6304972857;Video;4606;143;4.0;Great Expectations
577;0451163966;Book;758;316;4.5;One Flew Over the Cuckoo's Nest
600;B000002V0T;Music;3430;55;4.5;American Patriot
622;B000002V07;Music;1659;79;4.5;So Tonight That I Might See
633;0689714920;Book;2745;54;4.5;Misty of Chincoteague
656;0784017859;Video;1250;19;4.5;Denise Austin - Hit the Spot:Totally Firm
686;B00004RFIF;DVD;4312;51;4.5;Mystery Science Theater 3000 - The Brain That Wouldn't Die
689;B00004RFIE;DVD;4681;81;4.5;Mystery Science Theater 3000 - Eegah
809;B00004Y6S1;Music;3150;65;4.0;New American Gospel
865;B00000INB1;Video;4424;33;4.5;Karen Voight - Energy Sprint
881;B000009ELJ;Video;4351;24;2.5;The Howling: New Moon Rising
887;6302598869;Video;3361;10;5.0;Dixie Carter's Unworkout
1014;0767002652;Video;4869;31;4.5;Upstairs Downstairs - The Premiere Season
1083;B00005N8T1;Music;1183;137;4.5;New Favorite
1120;B000056QDQ;Music;2723;7;3.5;Cinderella - An Original Walt Disney Records Sountrack
1123;B000056QDT;Music;3485;12;4.5;Jungle Book
1128;6302918928;Video;1839;5;3.5;Table Manners for Kids - Tots to Teens
1151;0064409422;Book;681;381;4.5;The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)
1192;6301722272;Video;3889;1;5.0;Drawing the Line: A Portrait of Keith Haring
1212;0553278223;Book;3206;268;4.0;The Martian Chronicles
1263;6300183289;Video;4411;14;3.5;The Lonely Lady
1290;B000056N8V;DVD;3783;23;4.0;Relative Values
1312;B00005LL26;Video;443;261;4.5;Willy Wonka & The Chocolate Factory (30th Anniversary Edition)
1547;B000050XEI;Music;223;647;4.5;A Day Without Rain
1593;B00007KWHG;Music;341;14;5.0;Very Best of Frankie Valli and the Four Seasons
1619;B00008WJDN;DVD;4350;15;4.0;Baby Songs - ABC, 123, Colors & Shapes
1631;B00005NB94;DVD;3458;47;4.5;Arabian Nights
1698;6302796857;Video;424;28;4.5;A Town Like Alice
1740;0310246547;Book;4584;13;5.0;Emotionally Healthy Church, The
1797;0739828371;Book;2851;7;4.0;Complete GED Preparation (Complete GED Preparation) (Complete Ged Preparation)
2069;0738920916;Video;3266;3;3.5;Tango Magic
2117;0743216393;Book;2283;29;4.5;Three Plums In One : One for the Money, Two for the Dough, Three to Get Deadly
2205;6303608051;Video;1975;0;0.0;Puccini - La Boheme / Baz Luhrmann, The Australian Opera
2334;6304945175;Video;2499;4;5.0;Reflexology: The Timeless Art of Healing
2415;6300208605;Video;2971;2;3.0;Lady for a Night
2439;0788822721;Video;4444;15;5.0;Winnie the Pooh and the Blustery Day
2470;1557883599;Book;3876;38;5.0;The Mediterranean Vegan Kitchen
2535;B00001ZST8;Music;2040;76;5.0;keith urban
2552;0451191145;Book;782;1244;4.0;Atlas Shrugged
2640;B00004TKIC;DVD;1900;170;4.0;Yoga Conditioning for Weight Loss - Deluxe DVD Edition
2679;B00006JMSL;DVD;2331;22;4.0;The Incredible Mr. Limpet
2715;0780614097;Video;1585;52;4.5;Mr. Blandings Builds His Dream House
2724;B00000JMXA;Music;2305;19;4.0;Shalamar - Greatest Hits [Right Stuff]
2725;B00000JMXD;Music;2762;73;4.5;Return Of The Grievous Angel: Tribute To Gram Parsons
2741;0071381856;Book;1988;12;4.5;What Is Six Sigma?
2781;6303144837;Video;1843;43;4.0;Thumbelina
2903;6303049079;Video;2414;61;4.5;Mrs. Doubtfire
3070;B000063DG3;Music;2315;90;5.0;1000 Kisses
3087;0553380958;Book;1952;439;4.0;Snow Crash (Bantam Spectra Book)
3103;B000002TWN;Music;2164;62;5.0;Brown Sugar
3109;B000002TWG;Music;3905;12;4.5;Mambo Fever: Ultra Lounge 2
3175;6301253779;Video;1630;0;0.0;Collector's Item
3245;0658014900;Book;3482;12;5.0;Japanese Step by Step : An Innovative Approach to Speaking and Reading Japanese
3250;0912912065;Book;708;45;4.5;Rapid Interpretation of EKG's, Sixth Edition
3337;1561584843;Book;2333;35;4.5;Concrete Countertops: Design, Form, and Finishes for the New Kitchen and Bath
3374;1585747122;Book;4758;39;4.5;Natural Horse-Man-Ship: Six Keys to a Natural Horse-Human Relationship
3409;6304475152;Video;4370;4;4.5;National Geographic's In the Shadow of Vesuvius
3499;B0000026NF;Music;153;180;4.5;Journey - Greatest Hits
3571;B000089GIO;Music;1918;319;4.0;One Heart
3771;0553564927;Book;1949;136;4.5;The Last Command (Star Wars: The Thrawn Trilogy, Vol. 3)
3786;6305505519;DVD;4612;21;2.5;Tale of the Mummy
3813;6305558205;DVD;440;134;4.5;Local Hero
3829;0064401324;Book;3466;232;4.0;Stone Fox
3903;6304291752;Video;464;93;4.5;Leslie Sansone - 2 Mile Walk
3922;B0000037AE;Music;3462;8;5.0;Shakuhachi Meditation Music
3987;B000002BM5;Music;4904;106;4.5;Unplugged
4005;0440220440;Book;2530;36;4.5;Deal Breaker (Myron Bolitar Mysteries (Paperback))
4014;0943151244;Book;2768;84;5.0;Squee's Wonderful Big Giant Book of Unspeakable Horrors
4018;B00003CY5X;Video;4807;227;4.0;Rush Hour 2
4024;B00003CY5Y;DVD;657;227;4.0;Rush Hour 2 (Infinifilm Edition)
4031;B00003CY5S;DVD;3965;44;3.5;The Affair of the Necklace
4047;0804110387;Book;2763;37;4.0;Dr. Dean Ornish's Program for Reversing Heart Disease: The Only System Scientifically Proven to Reverse Heart Disease Without Drugs or Surgery
4198;1889540536;Book;2051;56;4.5;Proficient Motorcycling: The Ultimate Guide to Riding Well
4202;157110089X;Book;1368;23;4.5;I Read It, but I Don't Get It: Comprehension Strategies for Adolescent Readers
4203;0786928867;Book;962;88;3.5;Player's Handbook: Core Rulebook I (Dungeons & Dragons, Edition 3.5)
4205;1566913969;Book;1804;27;4.0;Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways (Road Trip USA Cross-Country Adventures on America's Two-Lane Highways)
4268;6301766377;Video;4348;4;5.0;The Bill Moyers Collection: Amazing Grace
4305;B00002MZ4W;Music;3279;515;4.5;When The Pawn...
4339;B0000034ON;Music;4556;5;5.0;Let's Dance, Vol. 5: Modern Collection (Michelle)
4388;B000059HB7;DVD;1877;79;4.5;Rio Bravo
